Type,Bug,LOC
Generated,Math_42,395
Generated,Math_3,810
Generated,Math_11,152
Generated,Math_5,496
Generated,Math_2,182
Generated,Math_44,228
Generated,Math_104,150
Generated,Math_28,157
Generated,Chart_24,68
Generated,Chart_12,392
Generated,Lang_63,410
Generated,Chart_13,400
Generated,Lang_55,117
Generated,Chart_25,201
Generated,Lang_41,507
Generated,Lang_46,403
Generated,Lang_15,694
Generated,Lang_24,788
Generated,Lang_22,525
Generated,Math_32,337
Generated,Chart_1,1149
Generated,Chart_6,163
Generated,Math_50,179
Generated,Math_57,226
Generated,Math_34,117
Generated,Math_56,168
Generated,Math_58,201
Generated,Math_24,220
Generated,Math_25,169
Generated,Math_49,682
Generated,Math_40,289
Generated,Lang_57,153
Generated,Lang_50,1008
Generated,Lang_1,790
Generated,Lang_59,1257
Generated,Lang_61,1258
Generated,Chart_11,339
Generated,Lang_7,791
Generated,Lang_60,1261
Generated,Chart_10,17
Generated,Lang_58,909
Generated,Chart_17,568
Generated,Lang_51,347
Generated,Lang_33,531
Generated,Lang_34,1028
Generated,Lang_16,787
Generated,Lang_27,784
Generated,Lang_45,247
Generated,Lang_21,715
Generated,Lang_10,607
Generated,Lang_43,305
Generated,Lang_44,401
Generated,Chart_5,360
Generated,Math_53,394
Generated,Math_31,110
Generated,Chart_3,707
Generated,Math_30,102
Generated,Math_39,238
Human,Math_42,396
Human,Math_3,812
Human,Math_11,151
Human,Math_5,497
Human,Math_2,182
Human,Math_44,282
Human,Math_104,150
Human,Math_28,163
Human,Chart_24,68
Human,Chart_12,393
Human,Lang_63,428
Human,Chart_13,401
Human,Lang_55,119
Human,Chart_25,390
Human,Lang_41,528
Human,Lang_46,406
Human,Lang_15,693
Human,Lang_24,787
Human,Lang_22,528
Human,Math_32,339
Human,Chart_1,1150
Human,Chart_6,81
Human,Math_50,182
Human,Math_57,226
Human,Math_34,117
Human,Math_56,175
Human,Math_58,201
Human,Math_24,220
Human,Math_25,169
Human,Math_49,686
Human,Math_40,285
Human,Lang_57,152
Human,Lang_50,1016
Human,Lang_1,785
Human,Lang_59,1258
Human,Lang_61,1258
Human,Chart_11,340
Human,Lang_7,793
Human,Lang_60,1259
Human,Chart_10,17
Human,Lang_58,906
Human,Chart_17,568
Human,Lang_51,345
Human,Lang_33,531
Human,Lang_34,1027
Human,Lang_16,785
Human,Lang_27,784
Human,Lang_45,248
Human,Lang_21,710
Human,Lang_10,616
Human,Lang_43,305
Human,Lang_44,398
Human,Chart_5,359
Human,Math_53,406
Human,Math_31,142
Human,Chart_3,709
Human,Math_30,103
Human,Math_39,235
